code,name,close,open,high,low,volume,amount,marcap,shares
477850,마키나락스,24600,29500,32000,24250,1948613,54045745050,436766505600,17754736
214430,아이쓰리시스템,59500,61700,63200,56600,38718,2283530400,434779292500,7307215
253590,네오셈,9910,10340,11060,9780,514986,5322473490,434743415240,43869164
101730,위메이드맥스,5180,5220,5490,4900,901381,4656281520,434101021480,83803286
272290,이녹스첨단소재,21500,22700,23500,21300,131595,2926344625,428656443500,19937509
340570,티앤엘,52700,52900,55300,52200,27567,1474549350,428345600000,8128000
476830,알지노믹스,30450,32950,34600,30250,226705,7335915925,427144013100,14027718
027360,아주IB투자,3520,4030,4050,3505,1279997,4782174606,426431829120,121145406
365340,성일하이텍,33000,34900,35900,32850,59002,1992091325,426396795000,12921115
099190,아이센스,14810,15220,15900,14500,37143,564020455,425895746290,28757309
018290,브이티,12010,12300,12720,11960,228157,2787887150,419651474380,34941838
079940,가비아,30950,31600,32500,30350,11794,368854700,415370169800,13420684
039440,에스티아이,26500,26550,28000,25600,122001,3249979150,410936745500,15507047
368770,파이버프로,12500,13600,13990,12480,129621,1688127570,410677812500,32854225
077360,덕산하이메탈,9010,9550,10320,8920,653934,6249551370,409387388020,45437002
033160,엠케이전자,16880,17660,19140,16500,1171813,20900253925,408402586080,24194466
290550,디케이티,20350,22200,22650,20250,230206,4920963600,407025030500,20001230
144960,뉴파워프라즈마,9310,9510,10400,9160,1277387,12547861595,406778329440,43692624
215200,메가스터디교육,39200,39450,40400,38850,27678,1090426875,406316467200,10365216
030520,한글과컴퓨터,16600,17670,17980,16490,172312,2979553300,401383750400,24179744
042000,카페24,16600,17580,17980,16520,62102,1056926100,401357605400,24178169
348210,넥스틴,37950,42400,42650,37950,99664,3952011450,397602339750,10477005
200710,에이디테크놀로지,29500,34250,34850,29250,424928,13632508425,397129206500,13462007
460930,현대힘스,10980,11700,12060,10980,69573,792456165,389907167580,35510671
095660,네오위즈,17970,18770,19040,17810,64280,1172088350,388807168230,21636459
348340,뉴로메카,30650,32950,34400,30500,85280,2738123825,380340478150,12409151
199800,툴젠,42250,46400,48000,42250,40711,1816334675,380149825250,8997629
439960,코스모로보틱스,11700,12950,13710,11600,727816,9138530305,379672324200,32450626
025980,아난티,3900,3970,4155,3865,582185,2315104217,379473861000,97300990
041190,우리기술투자,4495,4705,4865,4425,503821,2334221577,377580000000,84000000
486990,노타,17570,19130,19470,17520,140035,2564365880,375053261100,21346230
042520,한스바이오메드,25650,26050,28800,25350,369161,9866173150,365804063550,14261367
025320,시노펙스,3950,4285,4340,3935,685891,2790747360,364041689350,92162453
069080,웹젠,11750,11950,12250,11600,102690,1216005775,363857256250,30966575
078020,LS증권,6550,6670,6890,6470,81003,537196740,363401794500,55481190
372320,큐로셀,23850,26300,26500,23550,102285,2525552375,363138144300,15225918
160980,싸이맥스,33200,34050,36000,32250,127761,4397667725,362684867600,10924243
089010,켐트로닉스,21600,22950,23950,21350,112957,2526886675,362232583200,16770027
013030,하이록코리아,30750,32300,32300,30250,42287,1313267200,361870428000,11768144
036620,감성코퍼레이션,4015,4200,4330,3975,214372,881791385,360799720160,89862944
241770,메카로,34500,35300,36100,31600,20772,693242150,351646080000,10192640
003800,에이스침대,31650,32150,32500,31250,4016,127146025,350998500000,11090000
114810,한솔아이원스,12320,12500,13200,12200,314280,3960443590,346723903680,28143174
168360,펨트론,15400,16780,17900,15310,155486,2540166420,344845377800,22392557
060280,큐렉소,8350,8710,9020,8240,175471,1501746410,344519246500,41259790
204620,글로벌텍스프리,4855,4950,5100,4800,610825,2998900124,341225567150,70283330
078350,한양디지텍,22150,23100,24250,21850,163661,3744066175,337663061300,15244382
287840,인투셀,22450,23200,25000,22450,42320,1002427250,337243002000,15021960
078160,메디포스트,8450,8980,9380,8360,87031,759435760,331278895350,39204603
110990,디아이티,17460,18210,19180,17320,93376,1690787555,329994000000,18900000
236200,슈프리마,47100,47750,48650,45000,24541,1164346125,328490048100,6974311
084110,휴온스글로벌,25900,27100,27650,25850,25311,676628400,327889130800,12659812
006910,보성파워텍,6660,7110,7350,6620,817359,5672442380,327204627840,49129824
243070,휴온스,27000,27700,28250,27000,8859,244663350,323450955000,11979665
078340,컴투스,25950,27000,27650,25800,36694,972693750,313769572350,12091313
356680,엑스게이트,10880,12010,12390,10810,684563,7914567280,310553192960,28543492
064260,다날,4070,4400,4720,4065,598761,2577572857,307877009990,75645457
092730,네오팜,19100,19640,20250,19060,50460,991582390,306134589900,16027989
482630,삼양엔씨켐,13850,14650,15240,13700,172010,2483757610,303152678000,21888280
389650,넥스트바이오메디컬,36600,37850,40200,36250,49858,1887651375,302948667600,8277286
079370,제우스,9680,9830,10590,9480,354173,3546557490,300244463200,31016990
101930,인화정공,6570,6910,7040,6400,27056,179366510,300213988470,45694671
036890,진성티이씨,13600,14140,14570,13330,71164,983638265,299643672800,22032623
025900,동화기업,5910,6180,6360,5790,63874,385997670,298793554350,50557285
017890,한국알콜,14040,13450,14170,13100,236751,3306261770,298680024240,21273506
265520,AP시스템,19820,21200,21900,19820,54274,1130478440,298307272220,15050821
376270,HEM파마,41100,42000,43450,40500,10894,455225775,296050985700,7203187
493280,아이엠바이오로직스,19900,21500,22350,19880,73212,1548620645,295247325100,14836549
200670,휴메딕스,26250,27450,28400,26000,48650,1317110400,294785662500,11229930
136480,하림,2755,2820,2850,2755,571493,1595654653,292607729010,106209702
206650,유바이오로직스,7960,8290,8430,7920,92500,750296480,292548363720,36752307
025770,한국정보통신,7800,7800,7940,7570,97213,755811460,292065313800,37444271
